NO,lon,lat,prob
206,-76.40369121,-4.898692907,0.825237989
207,-77.24636228,-5.07938261,0.87972331
208,-77.01694111,-5.255144412,0.842178404
209,-76.80408316,-5.402160125,0.920520127
210,-76.52196083,-5.317564491,0.871423364
211,-76.0931629,-6.071850784,0.92455709
212,-76.78313958,-5.81281854,0.838808477
213,-76.7227728,-5.876059936,0.839136541
214,-76.69455164,-6.628357586,0.909759521
215,-74.93572426,-4.714717937,0.878874838
216,-75.44357183,-4.867072209,0.828716815
217,-75.80146064,-4.979181957,0.879869938
218,-76.21205061,-4.929355402,0.854373515
219,-75.71378507,-5.269928115,0.885173678
220,-75.85895282,-5.434807469,0.866335511
221,-74.78865379,-6.004513889,0.909825444
222,-75.09950142,-6.909249246,0.94948566
223,-74.96830316,-6.08686459,0.830332756
224,-74.42979309,-4.661058571,0.872838914
225,-73.75266299,-4.865901072,0.875436544
226,-74.02124208,-5.243111166,0.914166152
227,-74.67509305,-5.186153798,0.821276903
228,-74.32822358,-5.232147541,0.832132339
229,-74.51411495,-5.27047566,0.863484442
230,-74.59489883,-5.724811283,0.883101702
231,-74.68403628,-5.624371956,0.848595142
232,-74.49495089,-5.620219744,0.853544593
233,-74.36080248,-5.711249026,0.843098283
234,-72.06494816,-4.634228888,0.845548153
235,-72.1406462,-4.708968719,0.898972869
236,-72.30641531,-4.774126521,0.881814241
237,-72.42523248,-4.861897913,0.835855544
238,-72.88900272,-5.147825679,0.868362546
239,-71.85588569,-5.066291318,0.90367502
240,-72.06590636,-5.28676511,0.819769263
241,-73.23702203,-5.439119382,0.885153234
242,-73.30677921,-5.906722432,0.815692186
243,-71.00681831,-5.30237013,0.940281451
244,-76.53829054,-6.323822548,0.900797665
245,-76.44968495,-6.385823916,0.836742759
246,-76.52557463,-7.168484102,0.857770622
247,-76.69165203,-7.550832084,0.871009231
248,-76.77059584,-7.710583077,0.872167826
249,-76.46118339,-7.485840926,0.859185517
250,-76.06640376,-6.573631698,0.831487894
251,-75.99894627,-6.559067013,0.875191569
252,-76.15679424,-7.041554149,0.908058405
253,-75.55663978,-6.949247263,0.848261297
254,-76.32176485,-7.36798196,0.827299953
255,-74.24773453,-6.335997362,0.866982698
256,-74.31480873,-6.351328609,0.819553673
257,-74.77666257,-6.36761806,0.847065151
258,-71.97254407,-7.174383299,0.971787632
259,-73.25695266,-7.133222233,0.821302593
260,-72.67535759,-7.644688673,0.964994252
261,-72.50572153,-7.244373777,0.840358138
262,-73.03957747,-7.608764678,0.907086074
